iter	Passed	Remaining
410	4160	5962
411	4171	5952
412	4181	5942
413	4191	5932
414	4201	5922
415	4211	5912
416	4221	5902
417	4231	5892
418	4241	5881
419	4252	5871
420	4262	5861
421	4272	5851
422	4281	5840
423	4292	5830
424	4302	5820
425	4312	5810
426	4322	5799
427	4332	5789
428	4342	5779
429	4352	5769
430	4362	5759
431	4372	5748
432	4382	5738
433	4392	5728
434	4402	5718
435	4412	5708
436	4423	5698
437	4433	5688
438	4443	5678
439	4453	5668
440	4463	5657
441	4473	5647
442	4483	5636
443	4493	5626
444	4503	5616
445	4513	5606
446	4523	5595
447	4533	5586
448	4543	5576
449	4554	5566
450	4564	5556
451	4574	5545
452	4584	5535
453	4594	5525
454	4604	5515
455	4614	5505
456	4624	5494
457	4634	5484
458	4644	5474
459	4654	5464
460	4664	5453
461	4674	5443
462	4684	5433
463	4695	5423
464	4704	5413
465	4715	5403
466	4724	5392
467	4735	5382
468	4745	5372
469	4755	5362
470	4765	5351
471	4775	5341
472	4785	5331
473	4795	5321
474	4805	5311
475	4815	5301
476	4825	5290
477	4835	5280
478	4845	5270
479	4855	5260
480	4865	5250
481	4875	5239
482	4885	5229
483	4895	5219
484	4905	5208
485	4915	5199
486	4926	5189
487	4936	5179
488	4946	5168
489	4956	5158
490	4966	5148
491	4976	5138
492	4986	5128
493	4996	5118
494	5006	5107
495	5016	5097
496	5026	5086
497	5036	5076
498	5046	5066
499	5056	5056
500	5066	5045
501	5076	5035
502	5086	5025
503	5096	5015
504	5106	5005
505	5116	4995
506	5126	4985
507	5137	4975
508	5147	4965
509	5157	4955
510	5167	4945
511	5178	4935
512	5188	4925
513	5198	4915
514	5208	4905
515	5218	4895
516	5228	4884
517	5238	4874
518	5249	4864
519	5259	4854
520	5269	4844
521	5279	4834
522	5289	4824
523	5299	4814
524	5309	4804
525	5319	4793
526	5329	4783
527	5339	4773
528	5349	4762
529	5359	4752
530	5369	4742
531	5379	4732
532	5389	4722
533	5400	4712
534	5410	4702
535	5420	4692
536	5430	4682
537	5440	4672
538	5450	4662
539	5460	4651
540	5470	4641
541	5480	4631
542	5491	4621
543	5501	4611
