iter	RMSE
684	60431.24484
685	60357.58227
686	60272.77931
687	60161.86313
688	60094.74459
689	60010.19226
690	59952.69832
691	59884.68246
692	59790.24672
693	59700.65558
694	59606.03278
695	59544.20003
696	59440.84892
697	59345.77999
698	59189.26226
699	59088.6298
700	59008.43821
701	58917.01584
702	58843.88094
703	58716.60554
704	58622.87827
705	58510.52867
706	58427.39741
707	58339.9132
708	58267.09207
709	58186.54842
710	58115.52143
711	58001.06428
712	57895.64599
713	57831.95353
714	57761.19977
715	57663.37296
716	57574.49353
717	57504.41442
718	57436.39234
719	57360.60269
720	57300.11101
721	57210.94994
722	57130.42918
723	57072.44656
724	56992.8629
725	56862.74142
726	56751.58626
727	56630.61919
728	56552.36119
729	56477.54433
730	56402.75483
731	56276.98736
732	56192.27519
733	56103.92113
734	56015.85482
735	55924.2475
736	55866.2836
737	55770.84332
738	55657.80796
739	55606.10077
740	55537.692
741	55462.99722
742	55379.27794
743	55283.35821
744	55186.84012
745	55091.97405
746	55017.25275
747	54947.32541
748	54860.25428
749	54780.36392
750	54698.75517
751	54631.09485
752	54539.97312
753	54457.92065
754	54374.21159
755	54304.34518
756	54230.73547
757	54136.31103
758	54042.32636
759	53969.08879
760	53906.04924
761	53818.89505
762	53753.8193
763	53669.92213
764	53614.90095
765	53492.28728
766	53394.12309
767	53284.99482
768	53178.58372
769	53127.99383
770	53054.66193
771	52954.3852
772	52858.12985
773	52772.81231
774	52684.51872
775	52593.41189
776	52528.28976
777	52460.90502
778	52379.67534
779	52305.47928
780	52231.58119
781	52173.21697
782	52108.36219
783	52041.55489
784	51990.1897
785	51909.16821
786	51840.02583
787	51741.80561
788	51634.73502
789	51546.63401
790	51500.55417
791	51444.45382
792	51368.06654
793	51300.11984
794	51242.81519
795	51163.02295
796	51097.83407
797	50999.74984
798	50949.4615
799	50884.16812
800	50779.12998
801	50687.5226
802	50577.28571
803	50505.67487
804	50448.35785
805	50344.08982
806	50273.41082
807	50181.50269
808	50100.31582
809	50056.42081
810	49992.43969
811	49913.18609
812	49831.12377
813	49734.30464
814	49663.10019
815	49581.69209
816	49503.28445
817	49402.8468
818	49313.78002
819	49250.55257
820	49181.66421
821	49104.86091
822	49015.81668
823	48943.59907
824	48863.6252
825	48783.93161
826	48719.1441
827	48627.63427
828	48551.09124
829	48470.61415
830	48388.53274
831	48306.60004
832	48234.08012
833	48183.40429
834	48116.44863
835	48050.16112
836	47968.26295
837	47919.98983
838	47876.43888
839	47803.64248
840	47734.99038
841	47655.1109
842	47576.81584
843	47488.71246
844	47417.77299
845	47344.47381
846	47265.64137
847	47183.79451
848	47110.03498
849	47027.36017
850	46954.90412
851	46883.15901
852	46803.95817
853	46727.31312
854	46640.12856
855	46580.4854
856	46535.36062
857	46482.27944
858	46373.26741
859	46270.14247
860	46206.94651
861	46120.58414
862	46058.90933
863	45966.5901
864	45898.35906
865	45853.61116
866	45799.59406
867	45719.65411
868	45666.10378
869	45592.55412
870	45555.01492
871	45493.38479
872	45414.85594
873	45339.74168
874	45294.4274
875	45188.22958
876	45136.78009
877	45074.82378
878	44992.30831
879	44918.18746
880	44843.35417
881	44779.55488
882	44720.35995
883	44670.38334
884	44608.18802
885	44526.80545
886	44433.26232
887	44372.07766
888	44284.15824
889	44205.97106
890	44138.88395
891	44030.40823
892	43982.07112
893	43913.78982
894	43850.56439
895	43792.04349
896	43744.5521
897	43664.55487
898	43597.94583
899	43528.47574
900	43461.76283
901	43391.5263
902	43315.22702
903	43202.21612
904	43142.81518
905	43075.69564
906	43024.92224
907	42956.2281
908	42865.52263
909	42756.70604
910	42698.34614
911	42626.68876
912	42574.40692
913	42498.77584
914	42431.41499
915	42365.02918
916	42290.6278
917	42233.24691
918	42162.27999
919	42090.82202
920	42056.75648
921	42003.73732
922	41942.88063
923	41882.79597
924	41814.36689
925	41710.71552
926	41640.97307
927	41579.92926
928	41516.54221
929	41461.66187
930	41417.1183
931	41362.85967
932	41305.3702
933	41260.62651
934	41200.61643
935	41124.61798
936	41078.19933
937	41007.19597
938	40951.81863
939	40886.26375
940	40814.78807
941	40751.56773
942	40686.33037
943	40642.15808
944	40570.72563
945	40532.91282
946	40458.09344
947	40386.4771
948	40339.50236
949	40266.07149
950	40205.88341
951	40161.24561
952	40089.34225
953	40028.01494
954	39971.93794
955	39912.11684
956	39855.66374
957	39772.00392
958	39697.13431
959	39639.47025
960	39587.46347
961	39540.2792
962	39475.68205
963	39407.16041
964	39351.24412
965	39281.87199
966	39214.07799
967	39161.69949
968	39097.55962
969	39052.41038
970	38977.03876
971	38927.93088
972	38877.4049
973	38833.68594
974	38723.49032
975	38631.08453
976	38579.16372
977	38500.944
978	38458.82658
979	38404.3136
980	38326.63753
981	38247.61988
982	38167.17156
983	38097.3442
984	38040.44344
985	37982.07081
986	37936.66285
987	37890.84615
988	37830.82025
989	37799.14241
990	37730.01142
991	37665.78891
992	37604.70202
993	37532.67276
994	37479.41229
995	37430.86698
996	37382.96395
997	37303.7382
998	37228.44102
999	37178.40601
